Title,Patent Number,Abstract,Classification,Inventors,Current Assignee,link
,,,,,,
Personal ledger blockchain,US10013573B2,"A system, method, and computer readable storage medium configured for storing encrypted data in a blockchain. To write additional data in a blockchain, a request is received at a computing node. The request is typically cryptographically signed by a user system to include a new transaction with additional data in the blockchain. The additional data is previously encrypted with an encryption key. A new block that records the new transaction with additional data in the blockchain is added. To read the additional data in a blockchain, a request is received at a computing node with a transaction identifier and a decryption key from a user system to access data journaled as part of the blockchain in the transaction database. The transaction database is searched using the identifier. In response, to finding the corresponding block in the blockchain, the data is decrypted using the decryption key.","Classifications
 
 G06F21/6227 Protecting access to data via a platform, e.g. using keys or access control rules to a system of files or objects, e.g. local or distributed file system or database where protection concerns the structure of data, e.g. records, types, queries
 View 8 more classifications","[' Donna N', ' Dillenberger ']",International Business Machines Corp,https://patents.google.com/patent/US20180343128A1/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
Blockchain-supported device location verification with digital signatures,US10158492B2,"Location data from one or more geolocation engines such as GPS, a system that determines location from relative signal strengths or transit times, etc., within and/or connected to a device, such as a mobile phone, vehicle, movable electronic device, computer, etc., is included in a digital record that submitted to obtain a digital signature such that the presence of the device at the particular location can later be proven. The digital record may include data that encodes a message, as well as other parameters such as time. The digital signature encodes recomputation parameters of a hash tree signature infrastructure to a highest level value, a function of which is submitted as a transaction in a blockchain.","Classifications
 
 H04L9/3247 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials involving digital signatures
 View 13 more classifications",[' Jeffrey Pearce '],Guardtime SA,https://patents.google.com/patent/US10013573B2/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
Rewritable blockchain,US9967088B2,"A system includes circuitry for rewriting blockchains in a non-tamper-evident or tamper-evident operation using a key secret held by a trusted party. The blockchains may include a series of blocks secured integrity codes that may prevent non-tamper-evident rewrites by non-trusted parties that are not in possession of the key secret. In some cases, the key may allow valid but tamper-evident rewrites of the blockchain by trusted entities. Integrity outputs may be generated from the integrity codes based on the content of the previous blocks in the series such that attempts by untrusted parties to replace a block may be detected through coding-inconsistencies with other blocks.","Classifications
 
 H04L63/062 Network architectures or network communication protocols for network security for supporting key management in a packet data network for key distribution, e.g. centrally by trusted party
 View 21 more classifications","[' Giuseppe AtenieseMichael T', ' ChiaramonteDavid TreatBernardo MagriDaniele Venturi ']",Gsc Secrypt LLC Accenture Global Solutions Ltd,https://patents.google.com/patent/US10158492B2/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
"Blockchain-supported, node ID-augmented digital record signature method",US9853819B2,"At least one node in a distributed hash tree verification infrastructure is augmented with an identifier of an entity in a registration path. A data signature, which includes parameters for recomputation of a verifying value, and which is associated with a digital input record, will therefore also include data that identifies at least one entity in the hash tree path used for its initial registration in the infrastructure. An uppermost value of the hash tree verification infrastructure is entered as, or as part of, a transaction in a blockchain.","Classifications
 
 H04L9/3247 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials involving digital signatures
 View 6 more classifications",[' Ahto TruuAndres KroonmaaMichael GAULTJeffrey Pearce '],Guardtime SA,https://patents.google.com/patent/US9967088B2/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
Hybrid blockchain,US20170243193A1,"This disclosure describes a hybrid of blockchain with other information management systems to provide validation for documents, transaction state and performance against contracts. A blockchain document hybrid allows portions of versioned documents to be shared without revealing full document content. For transaction and contract state a confidential Shared Data Structure (SDS) is combined with a publicly viewable blockchain to record the terms of a trade transaction, starting from as early as a purchase order. Out of these building blocks we present designs for commerce systems that can automatically execute the flow of money based upon signals resulting from the flow of goods. Besides reducing processing costs through automation, these designs open up avenues for innovations such as a Data LC, Blockchain Based Obligation (BBO), Deep Tier Financing, and Cash Flow Scrips.","Classifications
 
 G06Q20/24 Credit schemes, i.e. ""pay after""
 View 7 more classifications","[' Zaki N', ' MANIANRanganathan KrishnanSrinivasan Sriram ']",Skuchain Inc,https://patents.google.com/patent/US9853819B2/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
Enterprise blockchains and transactional systems,US20170213209A1,"A system, method, and computer readable storage medium configured for a transactional database management system shared by all computing nodes participating in a system based on a blockchain protocol. The transactional database management system includes transactions and blocks, where the transactions are data to be stored in the blockchain and the blocks are records that confirm when and in what sequence certain transaction became journaled as part of the blockchain. A request is received signed with a signature of a user system to include a new transaction with additional data in the blockchain. In response to the signature being verified and hash of batches of receive transaction into the block being verified. The block are added that records the new transaction with additional data in the blockchain using within the transactional database management system.","Classifications
 
 G06Q20/3829 Payment protocols; Details thereof insuring higher security of transaction involving key management
 View 6 more classifications",[' Donna Eng Dillenberger '],International Business Machines Corp,https://patents.google.com/patent/US20170243193A1/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
Decentralized Autonomous Edge Compute Coordinated by Smart Contract On A Blockchain,US20170279774A1,"The systems, apparatus, methods, and computer program products described herein provide the capability for an entity to identify and autonomously contract via a blockchain database with an unknown and anonymous host device for access rights to a high volume raw data stream generated by a sensor of the host device. The systems, apparatus, methods, and computer program products further provide the capability for the entity to push or upload a software module to the host device to allow the entity to process the high volume raw data stream into a low volume data stream directly on the host device, i.e., at the source of the high volume raw data stream.","Classifications
 
 G06F16/24568 Data stream processing; Continuous queries
 View 15 more classifications","[' David A', ' BoozJonathan D', ' DyeMichael J', ' DyeEgan F', ' Ford ']",International Business Machines Corp,https://patents.google.com/patent/US20170213209A1/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
"Using classified text, deep learning algorithms and blockchain to identify risk in low-frequency, high value situations, and provide early warning",US10095992B1,"Deep learning is used to identify specific, potential risks to an enterprise while such risks are still internal electronic communications. The combination of Deep Learning and blockchain technologies is a system for overcoming the problem of “small training sets” for highly adverse situations. Each enterprise's data is secure; is not revealed to any other enterprise and yet is being aggregated using blockchain technology into a training set that is provably viable for building a Deep Learning model which is specific to a given adverse situation. When deployed, the Deep Learning model may provide an early warning alert to an enterprise's corporate counsel (or leaders) of a potential adverse situation the enterprise would like to know about in time to conduct an internal investigation in order to prevent or avoid the risk.","Classifications
 
 G06Q10/0635 Risk analysis
 View 11 more classifications","[' Nelson E', ' BrestoffJagannath Rajagopal ']",Intraspexion Inc,https://patents.google.com/patent/US20170279774A1/en?q=blockchain&country=US&language=ENGLISH&page=2
,,,,,,
A system and method for blockchain smart contract data privacy,US20180343114A1,"System and method for executing cryptographically secure transactions in a network comprising a public ledger, comprising associating a first proposed transaction with a public keys smart contract and associating at least a second transaction including private data and public data in said network with a cryptographically secure transaction.","Classifications
 
 H04L9/0825 Key transport or distribution, i.e. key establishment techniques where one party creates or otherwise obtains a secret value, and securely transfers it to the other(s) using asymmetric-key encryption or public key infrastructure [PKI], e.g. key signature or public key certificates
 View 9 more classifications",[' Adi BEN-ARI '],Ben Ari Adi,https://patents.google.com/patent/US10095992B1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Blockchain and deep links for mobile apps,US20170031874A1,"A deep link can have a name of a mobile app and a network address of a device on which an instance of the app is running. Deep links can be stored in a blockchain, along with related data, like the location of the device running the app. The deep links in the blockchain can be analysed to make a social network graph. A node in the graph is a network address of a mobile device running a mobile app. An edge between 2 nodes is a mobile app, which had 2 instances of the app interacting, where each instance runs on one of the nodes. The edge could be directed, going from the first earlier instance to the second instance. A blockchain can be used by a mobile app to write a deep link referring to itself. The app instance is looking to interact with other instances of the app. Another device scans the blockchain to get the deep link. It makes an instance of the app that interacts with the instance that wrote the deep link to the blockchain. The deep link in the blockchain could have associated data like the start and stop times of an interaction with other instances. Thus a blockchain can promote the direct interaction of instances of mobile apps. The logic to decide whether an app writes a deep link to the blockchain can be instantiated as a Writer. This can exist inside the app, or on the device, but outside any app, or on the network. Also, the app server might use a Writer, where the Writer is on the server machine or on the network.","Classifications
 
 G06F17/2235 Hyperlinking
 View 15 more classifications",[],Wesley John Boudville,https://patents.google.com/patent/US20180343114A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Application framework using blockchain-based asset ownership,US20170330174A1,"Systems and methods are provided for recording ownership information in a distributed ledger (such as a blockchain), and for performing application processing utilizing the distributed ledger. An example server computer system is configured to: record on a blockchain ownership information of an asset; to configure, for each owner of the asset, a digital wallet associated with a private cryptographic key and at least one blockchain address; using a blockchain address from a digital wallet to access ownership information in the blockchain; perform application processing using the accessed ownership information; and record in the blockchain, updated ownership information or other information associated with the ownership information in accordance with the performed application processing.","Classifications
 
 G06Q20/3678 Payment architectures, schemes or protocols characterised by the use of specific devices using electronic wallets or electronic money safes involving intelligent token, e.g. electronic purse e-cash details, e.g. blinded, divisible or detecting double spending
 View 5 more classifications",[' Richard DeMarinisHedi UUSTALUThomas FayDominick PaniscottiTriin PARVITSRachana RAJKUMARJunning TONG '],Nasdaq Inc,https://patents.google.com/patent/US20170031874A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Biometric verification of a blockchain database transaction contributor,US20190013931A1,"A blockchain database employs cryptography and other methods to implement and protect a distributed, publicly-amendable ledger. Transactions in a blockchain ledger are intentionally anonymous; however, there are cases where it would be useful to be able to verify or disprove a claim of identity of a contributor of a blockchain transaction. Biometrics can be used to link a human being to digital information using their unique physical traits in a way that is analogous to a handwritten or digital signature. An exemplary embodiment or digital signature. An exemplary embodiment disclosed herein describes methods to create and store data in a blockchain transaction such that it can be used in the future to biometrically verify the identity of the contributor of the transaction, and use encoded biometric data to determine whether the blockchain transaction was created or not created by a particular individual.","Classifications
 
 H04L9/0637 Modes of operation, e.g. cipher block chaining [CBC], electronic codebook [ECB] or Galois/counter mode [GCM]
 View 7 more classifications",[' David BENINI '],Aware Inc,https://patents.google.com/patent/US20170330174A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Blockchain technology to settle transactions,US20170228822A1,"Expediting settlement of securities traded on an exchange is described. A clearing instruction representing an order for equities can be received. The clearing instruction can include a cryptographic signature. A data block within a blockchain can be generated to include the order and the cryptographic signature. If the cryptographic signature is determined to be valid, a fast track settlement process can be selected to process the order.","Classifications
 
 G06Q40/04 Exchange, e.g. stocks, commodities, derivatives or currency exchange
 View 1 more classifications","[' John Everett Creighton, IVJoseph Burke Forster ']",Domus Tower Inc,https://patents.google.com/patent/US20190013931A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Transferring ledger assets between blockchains via pegged sidechains,US20160330034A1,"Systems and methods are described for transferring an asset from a parent chain to a sidechain. A simplified payment verification (SPV) proof associated with the parent chain asset may be generated. The SPV proof may include a threshold level of work. The SPV proof associated with the parent chain asset may be validated, and a sidechain asset corresponding to the parent chain asset may be generated. If no reorganization proof is detected, the sidechain asset is released. To redeem the sidechain asset in the parent chain, a SPV proof associated with the sidechain asset may be generated. The parent chain may validate the SPV proof associated with the sidechain asset. The parent chain asset associated with the sidechain asset may be held for a second predetermined contest period. The parent chain asset may then be released if no reorganization proof associated with the sidechain asset is detected.","Classifications
 
 H04L9/3255 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials involving digital signatures using group based signatures, e.g. ring or threshold signatures
 View 7 more classifications",[' Adam BackGregory MAXWELL '],Blockstream Corp,https://patents.google.com/patent/US20170228822A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Distributed logging of application events in a blockchain,US10320566B2,"A blockchain of transactions may be used for various purposes and may be later accessed by interested parties for ledger verification. One example method of operation may include one or more of monitoring one or more applications to identify application events, identifying one or more application events, determining a hash of a log message payload associated with the application events and logging the hash of the log message payload in a blockchain.","Classifications
 
 H04L9/32 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials
 View 3 more classifications","[' Pradipta K', ' BanerjeePooja KULKARNIHarshal S', ' Patil ']",International Business Machines Corp,https://patents.google.com/patent/US20160330034A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Providing data to a distributed blockchain network,US20180313798A1,"A method, comprising receiving, by a computing system, sensor data from a first sensor unit at a first location, converting, by the computing system, the sensor data into a standardized format, receiving, by the computing system, additional data corresponding to a first parameter at the first location and forecast data corresponding to the first parameter at the first location, generating, by the computing system, predicted future sensor data based on a comparison between the additional data, the sensor data, and the forecast data, writing, by the computing system, the sensor data, the additional data, and the predicted future sensor data into a blockchain ledger, and submitting, by the computing system, the ledger to a distributed blockchain database.","Classifications
 
 G01N33/004 Specially adapted to detect a particular component for CO, CO2
 View 1 more classifications","[' Risham Y', ' CHOKSHIAutumn GOODWilliam LIVESEYAndie SCHROEDER ']",International Business Machines Corp,https://patents.google.com/patent/US10320566B2/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Blockchain Enabled Packaging,US20180096175A1,"A distributed manufacturing platform and related techniques connect designers, manufacturers (e.g., 3D printer owners and other traditional manufacturers), shippers, and other entities and simplifies the process of manufacturing and supplying new and existing products. A distributed ledger or blockchain may be used to record transactions, execute smart contracts, and perform other operations to increase transparency and integrity of supply chain. Blockchain enabled packaging can be used to track movement and conditions of packages from manufacture, through transit, to delivery.","Classifications
 
 G06K5/02 Methods or arrangements for verifying the correctness of markings on a record carrier; Column detection devices the verifying forming a part of the marking action
 View 16 more classifications","[' James L', ' SchmelingDavid A', ' DivineDavid S', ' ThompsonShay C']",Colson,https://patents.google.com/patent/US20180313798A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Blockchain solutions for financial services and other transactions-based industries,US20180253702A1,"A system and a method for creating a holistic, flexible, scalable, confidential, low-latency, high-volume, immutable distributed ledger for the financial services and other industries. The system allows a scalable blockchain solution with respect to accessible memory requirements of distributed ledgers or distributed databases with confidentiality in the shared records as well as accommodating low-latency, high-capacity transaction capabilities. The method includes a fundamental, generic, logical representation of financial services life-cycles transactions in terms of variable sets of four simple, sequential components. The optimal process generates a self-validating, variable n-dimensional, multi-hash-linked, interdependent distributed ledger that allows the individual network participants to recreate the ledger without having to refer to or confirm with other network participants.","Classifications
 
 G06Q20/06 Private payment circuits, e.g. involving electronic currency used among participants of a common payment scheme
 View 8 more classifications","[' Paul F', ' Dowding ']",L4s Corp,https://patents.google.com/patent/US20180096175A1/en?q=blockchain&country=US&language=ENGLISH&page=3
,,,,,,
Out-of-band validation of domain name system records,US10230526B2,"An out-of-band Domain Name System (DNS) security technique uses a cryptographic blockchain for securing and validating DNS data in a chain of custody that exists outside the DNS namespace, allowing validated access to cached DNS information without requiring real-time access to root servers.","Classifications
 
 H04L9/32 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials
 View 8 more classifications",[],William Manning,https://patents.google.com/patent/US20180253702A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Method for issuing authentication information and blockchain-based server using the same,US20170330179A1,"A method for issuing authentication information is provided. The method includes steps of: (a) a managing server, if identification information of a specific user is acquired from a user device in response to a request for issuing the authentication information and the identification information is determined to be registered, creating a transaction whose output includes: (i) the specific user's public key and (ii) a hash value of the identification information or its processed value to thereby record or support other device to record it on a blockchain; and (b) the managing server acquiring a transaction ID representing location information of the transaction recorded on the blockchain.","Classifications
 
 G06Q20/3829 Payment protocols; Details thereof insuring higher security of transaction involving key management
 View 3 more classifications",[' Joo Han SongJay Wu HongJoon Sun Uhr '],Coinplug Inc,https://patents.google.com/patent/US10230526B2/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Method and system for gross settlement by use of an opaque blockchain,US20170148016A1,"A method for confirmation of an electronic transaction using a blockchain includes: receiving transaction data, the transaction data including a transaction amount and currency code; generating a transaction message formatted based on one or more standards including a first data element configured to store the transaction amount, a second data element configured to store the currency code, and a third data element configured to store an invoice identifier; transmitting the transaction message to a financial institution via a payment network; receiving a return message from the financial institution via the payment network formatted based on the one or more standards and including a data element configured to store the transaction amount, currency code, and invoice identifier; and generating a hash value based on application of hashing algorithms to the transaction amount, currency code, and invoice identifier stored in the data element included in the received return message.","Classifications
 
 G06Q20/3827 Use of message hashing
 View 6 more classifications",[' Steven Charles DAVIS '],Mastercard International Inc,https://patents.google.com/patent/US20170330179A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Digital blockchain authentication,US20170149560A1,A system for authenticating an access to a computerized records data-store by a plurality computer networking systems. The system includes a pre-stored identity information database to store identity information of the plurality of computer networking systems. The plurality of computer networking systems may include at least a first computer networking system and a second computer networking system such that the first computer networking system is uniquely defined by a first identity information and the second computer networking system is uniquely defined by a second identity information such that only the first computer networking system owns a registered digital account with the system and is authorized to access the computerized records data-store.,"Classifications
 
 H04L9/0637 Modes of operation, e.g. cipher block chaining [CBC], electronic codebook [ECB] or Galois/counter mode [GCM]
 View 10 more classifications","[' Shahid N', ' Shah ']",Netspective Communications LLC,https://patents.google.com/patent/US20170148016A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Secure multiparty loss resistant storage and transfer of cryptographic keys for blockchain based systems in conjunction with a wallet management system,US20180367298A1,"The invention provides a computer-implemented solution for controlling access to a computer-related resource such as, for example, a digital wallet. In one or more embodiments, the wallet may be implemented using a blockchain such as the Bitcoin blockchain but the invention is not limited in this regard. Use of the invention during the initial set-up of the wallet can enable subsequent operations such as wallet transactions to be handled in a secure manner over an insecure channel such as the interne. A method according to an embodiment of the invention can comprise the steps of splitting a verification element (such as a private key in an asymmetric cryptography pair) into a plurality of shares; determining a common secret at two or more nodes in a network; and using the common secret to transmit at least one share of the verification element between the two or more nodes. The shares can be split such that no share on its own is sufficient to arrive at the verification element. This means that no one party stores the entire private key, providing for enhanced security of the key. Two or more shares are required to restore the key. The shares are stored at separate locations one of which is an independent back-up or safe-storage location. If one of the other shares becomes unavailable, the share can be retrieved from back up to ensure that the key (and thus the controlled resource) is still accessible. To ensure safe transmission of the share(s), the common secret is generated at two different nodes independently of each other and then used to generate an encryption key. The encryption key can be used to encrypt at least one share of the verification element, or a message comprising it, to ensure that the share(s) are transmitted securely.","Classifications
 
 H04L9/085 Secret sharing or secret splitting, e.g. threshold schemes
 View 11 more classifications",[' Craig Steven WrightStephane Savanah '],nChain Holdings Ltd,https://patents.google.com/patent/US20170149560A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Blockchain-enhanced database,US20170228371A1,"A blockchain processor may be coupled to a database. The blockchain processor may accept data for entry into the database. The blockchain processor may hash a first previously entered data block stored in the database at a first row address. The blockchain processor may combine the accepted data, the hash of the first previously entered data block, and an address of the previously entered data block into a new data block. The blockchain processor may store the new data block in the database.","Classifications
 
 G06F17/3033
 View 10 more classifications",[' II Robert Allan SEGER '],Manifold Technology Inc,https://patents.google.com/patent/US20180367298A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Resisting replay attacks efficiently in a permissioned and privacy-preserving blockchain network,US10230756B2,"Embodiments of the present invention may provide techniques by which replay attacks in a blockchain network may be efficiently resisted, while preserving valid user permissions and privacy in the blockchain network. For example, in an embodiment of the present invention, in a network of computer systems, a method of communication may comprise at a user computer system, generating a security value that is to be used only once, generating a message signed with a security certificate and including the security value, and transmitting the message over the network of computer systems.","Classifications
 
 H04L63/1441 Countermeasures against malicious traffic
 View 11 more classifications","[' Elli AndroulakiAngelo De CaroThorsten KrampDavid W', ' KravitzAlessandro SorniottiMarko Vukolic ']",International Business Machines Corp,https://patents.google.com/patent/US20170228371A1/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Distributed electronic document review in a blockchain system and computerized scoring based on textual and visual feedback,US9870591B2,"A blockchain configured system and a method for facilitating an expertise driven review and scoring of electronic documents in a crowdsourced environment. The system includes a server computer, a memory circuit and a processing circuit. The processing circuit is coupled to the memory circuit and includes or is coupled to a credentialing engine. The system further includes an expert scoring module. The system further includes a document reviewing and scoring engine coupled to the processing circuit. The document review and scoring module associates an aggregate score to the electronic document based on aggregation of the review ratings by crowdsourced experts and aggregate scores of each of the crowdsourced experts based on the set of attributes including one or more of the credentialed expertise, reputation of the expert, and the officiality.","Classifications
 
 G06Q50/01 Social networking
 View 9 more classifications","[' Shahid N', ' Shah ']",Netspective Communications LLC,https://patents.google.com/patent/US10230756B2/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Method and system for linkage of blockchain-based assets to fiat currency accounts,US10026082B2,"A method for managing fractional reserves of blockchain currency includes: storing, in a first central account, a fiat amount associated with a fiat currency; storing, in a second central account, a blockchain amount associated with a blockchain currency; storing a plurality of account profiles, each profile including a fiat currency amount, blockchain currency amount, account identifier, and address; receiving a transaction message associated with a payment transaction, the message being formatted based on one or more standards and including a plurality of data elements, including a data element reserved for private use including a specific address and a transaction amount; identifying a specific account profile that includes the specific address included in the data element in the received transaction message; and updating the blockchain currency amount included in the identified specific account profile based on the transaction amount included in the data element in the received transaction message.","Classifications
 
 G06Q20/3829 Payment protocols; Details thereof insuring higher security of transaction involving key management
 View 4 more classifications",[' Steven Charles DAVIS '],Mastercard International Inc,https://patents.google.com/patent/US9870591B2/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Systems and methods for blockchain virtualization and scalability,US20170337534A1,"A virtualized blockchain forest includes a plurality of individual blockchains. Each individual blockchain of the plurality includes a blockchain height, a genesis block, and at least one additional block. The virtualized blockchain forest further includes a plurality of participating processors that make up a consensus pool, and a blockchain forest height having a time-sequenced start-to-finish length of blocks among the collective plurality of individual blockchains. The virtualized blockchain forest is configured to aggregate different ones of the plurality of individual blockchains, and is further configured to terminate individual ones of plurality of individual blockchains.","Classifications
 
 G06Q20/1235 Shopping for digital content with control of digital rights management [DRM]
 View 19 more classifications",[' Steven John GoeringerBrian Alexander ScriberRobert Michael Lund '],Cable Television Labs Inc,https://patents.google.com/patent/US10026082B2/en?q=blockchain&country=US&language=ENGLISH&page=4
,,,,,,
Payment system for carrying out electronic settlements using blockchain technology,US20170372278A1,"Disclosed herein is a payment system based on use of a blockchain-based electronic currency substantiated by a reserve of assets, as well are methods for issuance and circulation of the aforementioned electronic currency and methods for maintaining a reserve of assets that substantiate the aforementioned electronic currency in the disclosed payment system. In one exemplary aspect, the system comprises a management module, executable by a computer processor, configured to create and manage one or more wallets of electronic currency for a system operator and a plurality of clients, execute electronic currency payment transactions by transferring electronic currency between one or more wallets of the system operator and/or a plurality of clients and recording information about the executed transactions in a private blockchain-based settlement network, manage information about the reserve of assets substantiating the electronic currency and control in real-time purchase or sale of assets on an external market in an amount required to fully substantiate the issued electronic currency at each moment of time; and an issuance center, executable by a computer processor, configured to receive in real-time information from the management module concerning an amount of the reserve of assets substantiating the electronic currency, perform centralized generation and controlled issuance of the electronic currency into circulation, wherein the generation of all the electronic currency is performed in a single block by creating this block in a blockchain using a mining operation that generates a maximum possible amount of the electronic currency, and wherein the generated electronic currency is issued into circulation in an amount equal to or less than the amount of the reserve of assets substantiating it, when the amount of the reserve of assets reaches a threshold amount, calculate, by the computer processor, in real-time, an amount of assets to be sold or purchased on the external market in order to fully substantiate the issued electronic currency based on a set of mathematical functions that account for distributions of moments of time of receiving from the clients orders for purchasing or selling of electronic currency using a fiat currency and size of the received orders, and transmit to the management module an order to purchase or sell the calculated amount of assets, on the external market, to maintain a sufficient amount of reserve to fully substantiate the electronic currency at each moment of time.","Classifications
 
 G06Q20/065 Private payment circuits, e.g. involving electronic currency used among participants of a common payment scheme using e-cash
 View 8 more classifications",[' Vladimir Nikolayevich FrolovDamir Nasibullovich GaynanovAleksey Petrovich RomanchukAnatoliy Anatolievich Vatolin '],Cpn Gold Bv Pllc Private Cpn Gold BV LLC,https://patents.google.com/patent/US20170337534A1/en?q=blockchain&country=US&language=ENGLISH&page=5
,,,,,,
Consensus system and method for adding data to a blockchain,US20170075941A1,"A method and apparatus is presented for reaching consensus on adding data to a distributed ledger system in which no central trusted authority is available, comprising sending an announcement message by a network connected device to a plurality of network connected devices over a peer-to-peer network, said message providing an identification of the network connected device using a public key of a public/private key pair, a unique address identifier, and a hash. Subsequently, after a waiting period measured in, for example, time or blocks of data, the network connected device may submit data for inclusion in the distributed ledger. If the announcement message and preceding data in the distributed ledger satisfy a predetermined condition, the plurality of network connected devices may include the data in the distributed ledger. If the network connected device fails to submit the data when the predetermined condition is satisfied, the announcement message may be canceled.","Classifications
 
 G06F17/30365
 View 6 more classifications",[],Keir Finlow-Bates,https://patents.google.com/patent/US20170372278A1/en?q=blockchain&country=US&language=ENGLISH&page=5
,,,,,,
Data storage system with blockchain technology,US20170264428A1,"A blockchain processor may receive data associated with an interaction with a populated data storage system. The blockchain processor may hash a first previously entered data block at a first row address; combine the received data, the hash of the first previously entered data block, and the first row address into a data block; and store the data block.","Classifications
 
 H04L9/0637 Modes of operation, e.g. cipher block chaining [CBC], electronic codebook [ECB] or Galois/counter mode [GCM]
 View 6 more classifications",[' II Robert Allan SEGER '],Manifold Technology Inc,https://patents.google.com/patent/US20170075941A1/en?q=blockchain&country=US&language=ENGLISH&page=5
,,,,,,
Cryptographic applications for a blockchain system,US20170353309A1,"A method is provided for delegating behavior of a smart contract associated with a blockchain to code that is not part of the blockchain. A system directs execution by a virtual machine of the smart contract. During execution of the smart contract, the smart contract sends to a cryptlet container service, via a cryptodelegate, a request to delegate a behavior to a cryptlet that executes on an attested host. During execution the cryptlet container service identifies a host for executing code of the cryptlet in an appropriate cryptlet container. The cryptlet container service directs the identified host to execute the code of the cryptlet to perform the delegated behavior. After the delegated behavior is performed, the cryptlet container service receives from the cryptlet a response to the requested behavior. The cryptlet container service sends the response to the smart contract on the blockchain that is verified by the cryptodelegate.","Classifications
 
 H04L9/32 Cryptographic mechanisms or cryptographic arrangements for secret or secure communication including means for verifying the identity or authority of a user of the system or for message authentication, e.g. authorization, entity authentication, data integrity or data verification, non-repudiation, key authentication or verification of credentials
 View 9 more classifications",[' John Marley Gray '],Microsoft Technology Licensing LLC,https://patents.google.com/patent/US20170264428A1/en?q=blockchain&country=US&language=ENGLISH&page=5
,,,,,,
Method for using and revoking authentication information and blockchain-based server using the same,US20170330180A1,"A method for using authentication information is provided. The method includes steps of: (a) a managing server, if a request for using the authentication information is acquired, acquiring a transaction ID corresponding to a specific user's identification information; (b) the managing server acquiring an output of a specific transaction corresponding to the transaction ID from a blockchain; (c) the managing server determining revocation of the authentication information by referring to the output of the specific transaction; and (d) the managing server supporting a communication by providing the specific user's public key in the output of the specific transaction, if the authentication information is not revoked, and if (i) a hash value of the specific user's identification information included in the output of the specific transaction or its processed value corresponds to (ii) a hash value of the specific user's identification information pre-stored in a certain database or its processed value.","Classifications
 
 G06Q20/3829 Payment protocols; Details thereof insuring higher security of transaction involving key management
 View 7 more classifications",[' Joo Han SongJay Wu HongJoon Sun Uhr '],Coinplug Inc,https://patents.google.com/patent/US20170353309A1/en?q=blockchain&country=US&language=ENGLISH&page=5
,,,,,,
